Year,Month,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
1986,6,7,16,0,0,0,0,0,0,16,0,0,18,0,2,2,17,48,0,5,10,83,33,12,25,125,79,69,120,178,56,
1986,7,9,24,1,4,2,51,54,89,21,9,54,69,2,0,16,0,0,2,9,33,2,58,34,13,80,82,65,8,3,0,5
1986,8,0,2,1,1,1,17,2,0,0,0,7,2,54,47,8,3,7,0,0,5,30,20,15,16,51,8,1,0,10,17,3
1986,9,41,41,17,3,2,0,12,11,1,8,7,3,0,2,0,0,0,50,4,0,8,52,3,0,6,24,15,3,0,9,
1986,10,11,0,0,2,5,24,34,30,64,60,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986,11,0,0,0,0,0,0,0,14,38,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1986,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1987,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1987,2,0,0,0,56,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1987,3,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1987,4,0,0,0,0,0,0,0,0,0,0,7,3,44,0,0,0,0,0,0,0,0,0,3,3,65,35,3,0,0,31,
1987,5,14,1,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,1,0,0,0,0,0
1987,6,0,0,4,15,110,34,0,0,0,1,68,83,16,9,1,***,***,***,***,***,34,101,4,0,1,0,0,1,0,1,
1987,7,4,2,133,70,32,49,71,65,19,137,128,56,70,71,96,159,147,2,6,25,3,20,19,2,172,87,22,56,122,21,19
1987,8,70,54,0,0,5,17,15,0,33,0,7,18,1,9,1,0,9,8,98,84,71,12,0,15,30,271,200,191,46,32,1
1987,9,7,15,17,12,7,0,0,0,0,0,3,17,2,0,0,0,3,0,3,0,8,180,12,55,12,36,18,2,1,0,
1987,10,3,1,0,0,0,7,0,2,0,0,22,0,0,0,0,8,0,0,0,0,10,25,0,0,0,0,10,0,0,0,0
1987,11,0,0,0,0,0,0,0,0,0,0,0,0,2,16,36,47,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
1987,12,0,0,0,0,0,0,0,6,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,
1988,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0
1988,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,114,0,5,0,3,0,0,0,0,0,0,0,0,1,0,
1988,5,40,3,10,0,0,0,0,0,0,0,0,0,11,8,1,0,23,2,2,60,8,9,45,2,0,0,0,0,0,1,112
1988,6,8,0,48,78,11,1,14,41,29,21,50,25,121,62,19,26,127,0,0,3,14,1,26,94,65,42,164,161,52,3,
1988,7,1,26,37,30,22,9,39,117,57,60,0,21,3,10,0,0,0,3,11,2,1,11,108,22,115,38,28,0,0,0,6
1988,8,20,29,131,60,69,139,19,4,78,31,32,25,13,0,14,71,8,2,15,3,6,20,23,39,23,7,4,4,11,6,12
1988,9,15,54,55,27,30,119,30,47,6,2,0,1,5,17,9,4,5,5,5,19,49,3,1,0,6,0,0,1,0,1,
1988,10,14,0,3,69,6,27,16,0,0,0,0,5,6,1,0,0,0,2,7,23,3,0,0,0,0,0,0,0,0,0,0
1988,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,35,0,0,0,0,0,0,0,0,9,3,35,
1988,12,76,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,,,
1989,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,30,104,
1989,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,0,0,0,11,3,0,30,0,0,16,0,0,0,0
1989,6,0,0,3,1,6,3,10,18,0,0,0,0,87,86,65,154,1,19,9,50,58,73,1,3,61,21,0,3,5,29,
1989,7,24,61,55,40,1,8,57,46,0,2,0,106,48,22,1,1,10,2,15,0,0,0,1,1,12,17,18,39,132,56,90
1989,8,16,31,7,5,0,1,3,1,2,0,7,4,19,6,22,8,0,2,0,12,9,2,5,5,8,0,0,0,0,0,7
1989,9,59,2,0,16,93,32,4,0,2,1,0,6,54,10,0,3,0,0,0,0,0,8,5,11,11,63,34,43,3,0,
1989,10,0,0,55,0,0,27,0,12,43,97,15,17,0,0,0,1,4,16,58,0,0,54,8,28,13,35,33,0,0,0,0
1989,11,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1989,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,12,7,6,0,0,0,38,2,,,
1990,3,0,0,57,26,67,0,0,0,0,0,0,0,9,1,3,0,0,0,0,0,0,0,0,0,0,5,0,5,0,1,0
